id,title,serving,post_hit,created_at,updated_at,cate1,cate2,cate3,user_id
22,삼시세끼에 나온 제육볶음 : 삼시세끼 차승원 레시피&TV Show recipe: How to make stir-fried spicy pork (Korean Food),1,0,2015-03-16 00:00:00.000001,2015-03-16 00:00:00.000001,한식,일상,돼지고기,7
24,백종원 김치찌개 레시피 백종원 7분김치찌개,2,0,2015-10-06 00:00:00.000001,2015-10-06 00:00:00.000001,한식,술안주,채소,76
25,참치쌈장 양배추쌈 이렇게드셔보세요~ 다이어트음식으로 좋아요,3,0,2023-04-07 00:00:00.000001,2023-04-07 00:00:00.000001,한식,다이어트,채소,20
89,탄두리치킨 에어프라이어 후라이팬 두가지 방식으로 굽기,3,0,2022-01-26 00:00:00.000001,2022-01-26 00:00:00.000001,기타,술안주,닭고기,20
26,촉촉한 양배추에 닭가슴살+상큼 야채를 돌돌~담백하게 시작하는 일주일!닭가슴살 양배추말이,2,0,2018-02-19 00:00:00.000001,2018-02-19 00:00:00.000001,한식,다이어트,채소,75
30,"간단한 요리 레시피, 덮밥으로도 술안주로도 OK! 10분만에 만드는 소고기숙주볶음",1,0,2018-08-23 00:00:00.000001,2018-08-23 00:00:00.000001,한식,술안주,소고기,17
101,부타동 : 일본식 돼지고기 덮밥 간단한 점심 메뉴로 굿!,1,0,2018-12-17 00:00:00.000001,2018-12-17 00:00:00.000001,일식,원팬/스피디,돼지고기,17
32,바삭바삭 당근 애호박채전 만드는 법,1,0,2022-09-08 00:00:00.000001,2022-09-08 00:00:00.000001,한식,일상,밀가루,74
33,"다이어트 요리, 기름기 쫙 뺀 대패삼겹살 채소 찜",2,0,2018-10-31 00:00:00.000001,2018-10-31 00:00:00.000001,한식,다이어트,돼지고기,73
34,구수한~ 두부된장미역국,2,0,2017-02-14 00:00:00.000001,2017-02-14 00:00:00.000001,한식,일상,콩/견과류,15
121,통조림으로 만든 집밥 백선생 일본식 꽁치조림,2,0,2015-07-08 00:00:00.000001,2015-07-08 00:00:00.000001,일식,일상,생선,15
39,[신혼밥상] 10분 반찬! 메추리알조림,4,0,2019-07-24 00:00:00.000001,2019-07-24 00:00:00.000001,한식,일상,달걀/유제품,22
158,[신혼밥상] 시저샐러드,2,0,2020-04-21 00:00:00.000001,2020-04-21 00:00:00.000001,양식,일상,채소,22
46,아이반찬 양파소세지볶음 레시피 양파요리 초스피드반찬,4,0,2022-10-16 00:00:00.000001,2022-10-16 00:00:00.000001,한식,원팬/스피디,가공식품류,16
170,또띠아피자만들기 아이간식 에어프라이어간식 또띠아요리,1,0,2023-12-04 00:00:00.000001,2023-12-04 00:00:00.000001,양식,원팬/스피디,밀가루,16
47,간단한 반찬 새우숙주볶음 맵지 않아서 아이들도 잘 먹어요.,4,0,2021-03-03 00:00:00.000001,2021-03-03 00:00:00.000001,한식,일상,해물,72
48,떠먹는 떡꼬치 - 때론 떡피자 또는 떡꼬치 새콤 달콤,2,0,2016-08-08 00:00:00.000001,2016-08-08 00:00:00.000001,한식,술안주,쌀,10
55,에어프라이어 깐풍만두 만들기,2,0,2019-03-05 00:00:00.000001,2019-03-05 00:00:00.000001,기타,술안주,가공식품류,10
60,백종원중국식달걀탕,3,0,2018-12-24 00:00:00.000001,2018-12-24 00:00:00.000001,기타,일상,달걀/유제품,10
49,밥상 디톡스 브로콜리 마늘 볶음/해독 밥상/야채 마늘 볶음,3,0,2017-12-08 00:00:00.000001,2017-12-08 00:00:00.000001,한식,다이어트,채소,71
50,오징어 간장조림 간단하지만 맛있다,2,0,2022-06-09 00:00:00.000001,2022-06-09 00:00:00.000001,한식,일상,해물,69
51,손님 초대용으로도 좋은 유산슬느낌 청경채부추새우덮밥,2,0,2021-01-29 00:00:00.000001,2021-01-29 00:00:00.000001,기타,모임용,해물,61
53,나시고랭 숙주로 간단한 나시고랭 볶음밥,2,0,2019-03-04 00:00:00.000001,2019-03-04 00:00:00.000001,기타,원팬/스피디,채소,68
54,외국 불로그에서도 대박난 특별한 맛의 중국요리 동파육.,4,0,2017-03-17 00:00:00.000001,2017-03-17 00:00:00.000001,기타,술안주,돼지고기,67
57,유린기 중국 닭가슴살 튀김요리가 맛있다해,4,0,2018-11-11 00:00:00.000001,2018-11-11 00:00:00.000001,기타,술안주,닭고기,66
58,태국식 닭고기 덮밥 만드는 법 닭고기 덮밥 레시피 닭 요리 시금치 요리,2,0,2023-10-03 00:00:00.000001,2023-10-03 00:00:00.000001,기타,일상,닭고기,65
59,라이스페이퍼피자 계란요리 베트남 간식 반짱느엉 만들기,2,0,2023-08-21 00:00:00.000001,2023-08-21 00:00:00.000001,기타,일상,달걀/유제품,21
65,똠얌꿍 남싸이 만드는 법 태국식 새우스프 똠양꿍 레시피,2,0,2023-08-02 00:00:00.000001,2023-08-02 00:00:00.000001,기타,일상,해물,21
62,"[무드앤쿡#.30] 표고버섯 싫어하는 사람도 반해버린 맛, 중화풍 해물덮밥 <표고버섯 새우 덮밥>",1,0,2021-08-12 00:00:00.000001,2021-08-12 00:00:00.000001,기타,일상,해물,64
63,두반장이 필요없다! 쉽고~ 맛있는 마파두부/ 마파두부덮밥 레시피 공개!,5,0,2017-12-28 00:00:00.000001,2017-12-28 00:00:00.000001,기타,원팬/스피디,콩/견과류,63
64,백종원 팟타이 만들기,2,0,2016-07-04 00:00:00.000001,2016-07-04 00:00:00.000001,기타,일상,면,62
66,태국식돼지고기덮밥 만들기 태국요리 카파오무쌉 돼지고기볶음덮밥 만드는 방법,1,0,2018-03-05 00:00:00.000001,2018-03-05 00:00:00.000001,기타,일상,돼지고기,78
67,베트남쌀국수 만들기~,2,0,2021-02-14 00:00:00.000001,2021-02-14 00:00:00.000001,기타,일상,면,79
68,미림소스로 만드는 베트남 대표 음식! 분짜,2,0,2018-05-18 00:00:00.000001,2018-05-18 00:00:00.000001,기타,일상,면,80
